id_localizacion;localizacion;pais
1;Alabama;U.S.A
2;Arizona;U.S.A
3;Arkansas;U.S.A
4;Bermuda;U.S.A
5;California;U.S.A
6;Colorado;U.S.A
7;Connecticut;U.S.A
8;D.C.;U.S.A
9;Delaware;U.S.A
10;Florida;U.S.A
11;Atlanta;U.S.A
12;Idaho;U.S.A
13;Illinois;U.S.A
14;Indiana;U.S.A
15;Iowa;U.S.A
16;Ireland;IRELAND
17;Israel;ISRAEL
18;Kentucky;U.S.A
19;Louisiana;U.S.A
20;Maine;U.S.A
21;Maryland;U.S.A
22;Massachusetts;U.S.A
23;Michigan;U.S.A
24;Minnesota;U.S.A
25;Missouri;U.S.A
26;Montana;U.S.A
27;Nebraska;U.S.A
28;Netherlands;NETHERLANDS
29;Nevada;U.S.A
30;New Jersey;U.S.A
31;New York;U.S.A
32;North Carolina;U.S.A
33;Ohio;U.S.A
34;Oklahoma;U.S.A
35;Oregon;U.S.A
36;Pennsylvania;U.S.A
37;Rhode Island;U.S.A
38;Switzerland;SWITZERLAND
39;Tennessee;U.S.A
40;Texas;U.S.A
41;United Kingdom;U.K
42;Utah;U.S.A
43;Virginia;U.S.A
44;Washington;U.S.A
45;Wisconsin;U.S.A
