id_sub_industria;sub_industria
1;Advertising
2;Aerospace & Defense
3;Agricultural Products & Services
4;Air Freight & Logistics
5;Apparel Retail
6;Apparel, Accessories & Luxury Goods
7;Application Software
8;Asset Management & Custody Banks
9;Automobile Manufacturers
10;Automotive Parts & Equipment
11;Automotive Retail
12;Biotechnology
13;Brewers
14;Broadcasting
15;Broadline Retail
16;Building Products
17;Cable & Satellite
18;Cargo Ground Transportation
19;Casinos & Gaming
20;Commodity Chemicals
21;Communications Equipment
22;Computer & Electronics Retail
23;Construction & Engineering
24;Construction Machinery & Heavy Transportation Equipment
25;Construction Materials
26;Consumer Electronics
27;Consumer Finance
28;Consumer Staples Merchandise Retail
29;Copper
30;Data Center REITs
31;Data Processing & Outsourced Services
32;Distillers & Vintners
33;Distributors
34;Diversified Banks
35;Diversified Chemicals
36;Diversified Support Services
37;Drug Retail
38;Electric Utilities
39;Electrical Components & Equipment
40;Electronic Components
41;Electronic Equipment & Instruments
42;Environmental & Facilities Services
43;Fertilizers & Agricultural Chemicals
44;Financial Exchanges & Data
45;Food Distributors
46;Food Retail
47;Gas Utilities
48;Gold
49;Health Care Distributors
50;Health Care Equipment
51;Health Care Facilities
52;Health Care REITs
53;Health Care Services
54;Health Care Supplies
55;Health Care Technology
56;Home Furnishings
57;Home Improvement Retail
58;Homebuilding
59;Hotel & Resort REITs
60;Hotels, Resorts & Cruise Lines
61;Household Appliances
62;Household Products
63;Human Resource & Employment Services
64;Independent Power Producers & Energy Traders
65;Industrial Conglomerates
66;Industrial Gases
67;Industrial Machinery & Supplies & Components
68;Industrial REITs
69;Insurance Brokers
70;Integrated Oil & Gas
71;Integrated Telecommunication Services
72;Interactive Home Entertainment
73;Interactive Media & Services
74;Internet Services & Infrastructure
75;Investment Banking & Brokerage
76;IT Consulting & Other Services
77;Leisure Products
78;Life & Health Insurance
79;Life Sciences Tools & Services
80;Managed Health Care
81;Metal, Glass & Plastic Containers
82;Movies & Entertainment
83;Multi-Family Residential REITs
84;Multi-line Insurance
85;Multi-Sector Holdings
86;Multi-Utilities
87;Office REITs
88;Oil & Gas Equipment & Services
89;Oil & Gas Exploration & Production
90;Oil & Gas Refining & Marketing
91;Oil & Gas Storage & Transportation
92;Other Specialized REITs
93;Packaged Foods & Meats
94;Paper & Plastic Packaging Products & Materials
95;Passenger Airlines
96;Personal Care Products
97;Pharmaceuticals
98;Property & Casualty Insurance
99;Publishing
100;Rail Transportation
101;Real Estate Services
102;Regional Banks
103;Reinsurance
104;Research & Consulting Services
105;Restaurants
106;Retail REITs
107;Self-Storage REITs
108;Semiconductor Materials & Equipment
109;Semiconductors
110;Single-Family Residential REITs
111;Soft Drinks & Non-alcoholic Beverages
112;Specialty Chemicals
113;Specialty Stores
114;Steel
115;Systems Software
116;Technology Distributors
117;Technology Hardware, Storage & Peripherals
118;Telecom Tower REITs
119;Timber REITs
120;Tobacco
121;Trading Companies & Distributors
122;Transaction & Payment Processing Services
123;Water Utilities
124;Wireless Telecommunication Services
